Date,M1_Position,M2_Position,M1_P&L,M2_P&L,P&L
1/2/07,0,0,0.0,0.0,0.0
1/3/07,0,0,0.0,0.0,0.0
1/4/07,0,0,0.0,0.0,0.0
1/5/07,0,0,0.0,0.0,0.0
1/8/07,0,0,0.0,0.0,0.0
1/9/07,0,0,0.0,0.0,0.0
1/10/07,0,0,0.0,0.0,0.0
1/11/07,0,0,0.0,0.0,0.0
1/12/07,0,0,0.0,0.0,0.0
1/16/07,0,0,0.0,0.0,0.0
1/17/07,0,0,0.0,0.0,0.0
1/18/07,0,0,0.0,0.0,0.0
1/19/07,0,0,0.0,0.0,0.0
1/22/07,0,0,0.0,0.0,0.0
1/23/07,0,0,0.0,0.0,0.0
1/24/07,0,0,0.0,0.0,0.0
1/25/07,0,0,0.0,0.0,0.0
1/26/07,0,0,0.0,0.0,0.0
1/29/07,0,0,0.0,0.0,0.0
1/30/07,0,0,0.0,0.0,0.0
1/31/07,0,0,0.0,0.0,0.0
2/1/07,0,0,0.0,0.0,0.0
2/2/07,0,0,0.0,0.0,0.0
2/5/07,0,0,0.0,0.0,0.0
2/6/07,0,0,0.0,0.0,0.0
2/7/07,0,0,0.0,0.0,0.0
2/8/07,0,0,0.0,0.0,0.0
2/9/07,0,0,0.0,0.0,0.0
2/12/07,0,0,0.0,0.0,0.0
2/13/07,0,0,0.0,0.0,0.0
2/14/07,0,0,0.0,0.0,0.0
2/15/07,0,0,0.0,0.0,0.0
2/16/07,0,0,0.0,0.0,0.0
2/20/07,0,0,0.0,0.0,0.0
2/21/07,0,0,0.0,0.0,0.0
2/22/07,0,0,0.0,0.0,0.0
2/23/07,0,0,0.0,0.0,0.0
2/26/07,0,0,0.0,0.0,0.0
2/27/07,0,0,0.0,0.0,0.0
2/28/07,0,0,0.0,0.0,0.0
3/1/07,0,0,0.0,0.0,0.0
3/2/07,0,0,0.0,0.0,0.0
3/5/07,0,0,0.0,0.0,0.0
3/6/07,0,0,0.0,0.0,0.0
3/7/07,0,0,0.0,0.0,0.0
3/8/07,0,0,0.0,0.0,0.0
3/9/07,0,0,0.0,0.0,0.0
3/12/07,0,0,0.0,0.0,0.0
3/13/07,0,0,0.0,0.0,0.0
3/14/07,0,0,0.0,0.0,0.0
3/15/07,0,0,0.0,0.0,0.0
3/16/07,0,0,0.0,0.0,0.0
3/19/07,0,0,0.0,0.0,0.0
3/20/07,0,0,0.0,0.0,0.0
3/21/07,0,0,0.0,0.0,0.0
3/22/07,0,0,0.0,0.0,0.0
3/23/07,0,0,0.0,0.0,0.0
3/26/07,0,0,0.0,0.0,0.0
3/27/07,0,0,0.0,0.0,0.0
3/28/07,0,0,0.0,0.0,0.0
3/29/07,0,0,0.0,0.0,0.0
3/30/07,0,0,0.0,0.0,0.0
4/2/07,0,0,0.0,0.0,0.0
4/3/07,0,0,0.0,0.0,0.0
4/4/07,0,0,0.0,0.0,0.0
4/5/07,0,0,0.0,0.0,0.0
4/6/07,0,0,0.0,0.0,0.0
4/9/07,0,0,0.0,0.0,0.0
4/10/07,0,0,0.0,0.0,0.0
4/11/07,0,0,0.0,0.0,0.0
4/12/07,0,0,0.0,0.0,0.0
4/13/07,0,0,0.0,0.0,0.0
4/16/07,0,0,0.0,0.0,0.0
4/17/07,0,0,0.0,0.0,0.0
4/18/07,0,0,0.0,0.0,0.0
4/19/07,0,0,0.0,0.0,0.0
4/20/07,0,0,0.0,0.0,0.0
4/23/07,0,0,0.0,0.0,0.0
4/24/07,0,0,0.0,0.0,0.0
4/25/07,0,0,0.0,0.0,0.0
4/26/07,0,0,0.0,0.0,0.0
4/27/07,0,0,0.0,0.0,0.0
4/30/07,0,0,0.0,0.0,0.0
5/1/07,0,0,0.0,0.0,0.0
5/2/07,0,0,0.0,0.0,0.0
5/3/07,0,0,0.0,0.0,0.0
5/4/07,0,0,0.0,0.0,0.0
5/7/07,0,0,0.0,0.0,0.0
5/8/07,0,0,0.0,0.0,0.0
5/9/07,0,0,0.0,0.0,0.0
5/10/07,0,0,0.0,0.0,0.0
5/11/07,0,0,0.0,0.0,0.0
5/14/07,0,0,0.0,0.0,0.0
5/15/07,0,0,0.0,0.0,0.0
5/16/07,0,0,0.0,0.0,0.0
5/17/07,0,0,0.0,0.0,0.0
5/18/07,0,0,0.0,0.0,0.0
5/21/07,0,0,0.0,0.0,0.0
5/22/07,0,0,0.0,0.0,0.0
5/23/07,0,0,0.0,0.0,0.0
5/24/07,0,0,0.0,0.0,0.0
5/25/07,0,0,0.0,0.0,0.0
5/29/07,0,0,0.0,0.0,0.0
5/30/07,0,0,0.0,0.0,0.0
5/31/07,0,0,0.0,0.0,0.0
6/1/07,0,0,0.0,0.0,0.0
6/4/07,0,0,0.0,0.0,0.0
6/5/07,0,0,0.0,0.0,0.0
6/6/07,0,0,0.0,0.0,0.0
6/7/07,0,0,0.0,0.0,0.0
6/8/07,1,-1,-126.67,76.505,-50.165000000000006
6/11/07,1,-1,-1218.75,687.5,-531.25
6/12/07,1,-1,687.5,-203.125,484.375
6/13/07,1,-1,-187.5,109.375,-78.125
6/14/07,1,-1,406.25,-359.375,46.875
6/15/07,1,-1,187.5,-187.5,0.0
6/18/07,1,-1,593.75,-421.875,171.875
6/19/07,1,-1,-437.5,281.25,-156.25
6/20/07,1,-1,-468.75,203.125,-265.625
6/21/07,1,-1,250.0,-218.75,31.25
6/22/07,1,-1,656.25,-437.5,218.75
6/25/07,1,-1,-250.0,140.625,-109.375
6/26/07,1,-1,343.75,-218.75,125.0
6/27/07,1,-1,-343.75,281.25,-62.5
6/28/07,1,-1,968.75,-500.0,468.75
6/29/07,1,-1,281.25,-234.375,46.875
7/2/07,1,-1,-531.25,343.75,-187.5
7/3/07,1,-1,-937.5,656.25,-281.25
7/5/07,1,-1,-468.75,328.125,-140.625
7/6/07,1,-1,375.0,-234.375,140.625
7/9/07,1,-1,1187.5,-781.25,406.25
7/10/07,1,-1,-468.75,203.125,-265.625
7/11/07,1,-1,-343.75,296.875,-46.875
7/12/07,1,-1,125.0,-31.25,93.75
7/13/07,1,-1,750.0,-453.125,296.875
7/16/07,1,-1,-437.5,265.625,-171.875
7/17/07,1,-1,687.5,-500.0,187.5
7/18/07,1,-1,-187.5,109.375,-78.125
7/19/07,1,-1,625.0,-500.0,125.0
7/20/07,1,-1,-31.25,62.5,31.25
7/23/07,1,-1,93.75,-171.875,-78.125
7/24/07,1,-1,406.25,-250.0,156.25
7/25/07,1,-1,1031.25,-937.5,93.75
7/26/07,1,-1,-125.0,140.625,15.625
7/27/07,1,-1,-156.25,171.875,15.625
7/30/07,1,-1,437.5,-203.125,234.375
7/31/07,0,0,-32.92,-17.245,-50.165000000000006
