Ticker,Multiplier,Tick Size,Exchange Fees,Commission,NFA Fees,Slippage,Sector
ES,50,0.25,1.18,0.85,0.02,2,IND
CL,1000,0.01,1.5,0.85,0.02,2,ENG
TF,50,0.1,1.18,0.85,0.02,2,IND
VX,1000,0.05,1.44,0.85,0.02,2,
EC,125000,5.00E-05,1.6,0.85,0.02,2,CUR
BP,62500,0.0001,1.6,0.85,0.02,2,CUR
NQ,20,0.25,1.18,0.85,0.02,2,IND
NG,10000,0.001,1.5,0.85,0.02,2,ENG
ZB,1000,0.03125,0.8,0.85,0.02,2,BND
GC,100,0.1,1.5,0.85,0.02,2,MET
SF,125000,0.0001,1.6,0.85,0.02,2,CUR
JY,125000,5.00E-05,1.6,0.85,0.02,2,CUR
ZN,1000,0.015625,0.75,0.85,0.02,2,BND
SI,50,0.5,1.5,0.85,0.02,2,MET
ZC,50,0.25,1.95,0.85,0.02,2,AGG
ZS,50,0.25,1.95,0.85,0.02,2,AGG
ZW,50,0.25,1.95,0.85,0.02,2,AGG
ZL,600,0.01,1.95,0.85,0.02,2,AGG
ZM,100,0.1,1.95,0.85,0.02,2,AGG
KW,50,0.25,1.95,0.85,0.02,2,AGG
DY,25,0.5,0.758,0.85,0.02,2,IND
EX,10,1,0.4505,0.85,0.02,2,IND
NK,5,1,1.994,0.85,0.02,2,IND
AD,100000,0.0001,1.6,0.85,0.02,2,CUR
CD,100000,5.00E-05,1.6,0.85,0.02,2,CUR
CC,10,1,2.1,0.85,0.02,2,AGG
CT,500,0.01,2.1,0.85,0.02,2,AGG
KC,375,0.05,2.1,0.85,0.02,2,AGG
SB,1120,0.01,2.1,0.85,0.02,2,AGG
LC,400,0.025,2.03,0.85,0.02,2,AGG
LH,400,0.025,2.03,0.85,0.02,2,AGG
PL,50,0.1,1.5,0.85,0.02,2,MET
PA,100,0.1,1.5,0.85,0.02,2,MET
HG,250,0.05,1.5,0.85,0.02,2,MET
RB,42000,0.0001,1.5,0.85,0.02,2,ENG
HO,42000,0.0001,1.5,0.85,0.02,2,ENG
BC,1000,0.01,1.5,0.85,0.02,2,ENG
YM,5,1,1.18,0.85,0.02,2,IND
ED,2500,0.005,1.25,0.85,0.02,2,BND
ZF,1000,0.0078125,0.65,0.85,0.02,2,BND
ZT,2000,0.0078125,0.65,0.85,0.02,2,BND
S.A,1,0.01,0,0.005,0,2,STK
S.AA,1,0.01,0,0.005,0,2,STK
S.AAL,1,0.01,0,0.005,0,2,STK
S.AAP,1,0.01,0,0.005,0,2,STK
S.AAPL,1,0.01,0,0.005,0,2,STK
S.ABBV,1,0.01,0,0.005,0,2,STK
S.ABC,1,0.01,0,0.005,0,2,STK
S.ABI,1,0.01,0,0.005,0,2,STK
S.AMBC,1,0.01,0,0.005,0,2,STK
S.ABS,1,0.01,0,0.005,0,2,STK
S.ABT,1,0.01,0,0.005,0,2,STK
S.ABX,1,0.01,0,0.005,0,2,STK
S.ACAS,1,0.01,0,0.005,0,2,STK
S.ACKH,1,0.01,0,0.005,0,2,STK
S.ACN,1,0.01,0,0.005,0,2,STK
S.ACS,1,0.01,0,0.005,0,2,STK
S.ACV,1,0.01,0,0.005,0,2,STK
S.ADBE,1,0.01,0,0.005,0,2,STK
S.ADCT,1,0.01,0,0.005,0,2,STK
S.ADI,1,0.01,0,0.005,0,2,STK
S.ADM,1,0.01,0,0.005,0,2,STK
S.ADP,1,0.01,0,0.005,0,2,STK
S.SXCL,1,0.01,0,0.005,0,2,STK
S.ADS,1,0.01,0,0.005,0,2,STK
S.ADSK,1,0.01,0,0.005,0,2,STK
S.ADT,1,0.01,0,0.005,0,2,STK
S.AEE,1,0.01,0,0.005,0,2,STK
S.AEP,1,0.01,0,0.005,0,2,STK
