Date,Open,High,Low,Close,Volume,Open Interest
4/10/96,1486.72,1488.92,1474.22,1477.97,2282,627
4/11/96,1477.72,1482.22,1464.22,1473.97,1627,920
4/12/96,1476.22,1478.22,1472.22,1474.97,686,941
4/15/96,1476.22,1481.97,1475.22,1480.47,694,942
4/16/96,1486.22,1495.22,1486.22,1495.22,1161,1120
4/17/96,1493.22,1497.12,1487.72,1490.72,707,1129
4/18/96,1493.22,1502.22,1493.22,1501.32,605,1186
4/19/96,1508.97,1509.72,1501.22,1502.22,524,1368
4/22/96,1510.22,1512.97,1509.72,1512.72,461,1345
4/23/96,1514.72,1522.52,1511.47,1522.02,1092,1437
4/24/96,1529.22,1531.12,1525.62,1529.97,873,1514
4/25/96,1531.72,1534.97,1526.42,1534.72,1138,1699
4/26/96,1537.72,1538.22,1532.92,1535.02,545,1854
4/29/96,1529.72,1535.72,1529.72,1534.47,329,1851
4/30/96,1534.22,1535.22,1530.72,1533.22,322,1877
5/1/96,1532.47,1541.72,1531.97,1540.57,552,2010
5/2/96,1537.47,1540.97,1524.72,1525.82,1496,2203
5/3/96,1524.47,1536.72,1522.47,1528.72,1727,2531
5/6/96,1531.57,1532.22,1523.22,1530.72,972,2800
5/7/96,1531.72,1533.47,1526.22,1527.22,851,3018
5/8/96,1525.12,1531.97,1513.72,1531.72,2055,2720
5/9/96,1532.22,1536.72,1527.47,1530.72,576,2699
5/10/96,1537.22,1540.97,1534.22,1540.72,724,2752
5/13/96,1539.72,1556.47,1539.72,1555.97,1319,2862
5/14/96,1559.22,1564.72,1557.47,1563.22,1154,3149
5/15/96,1561.97,1569.22,1558.22,1558.42,1807,3309
5/16/96,1554.22,1563.22,1551.22,1562.22,930,3152
5/17/96,1566.22,1566.22,1558.72,1559.22,2465,3456
5/20/96,1563.72,1564.72,1557.47,1560.47,941,3573
5/21/96,1561.22,1562.12,1554.22,1554.82,548,3403
5/22/96,1554.02,1558.22,1551.47,1554.47,809,3331
5/23/96,1555.22,1560.72,1553.47,1557.22,723,3434
5/24/96,1560.22,1561.22,1554.47,1556.32,481,3457
5/28/96,1557.47,1558.47,1549.47,1552.22,500,3327
5/29/96,1552.22,1553.47,1541.27,1543.22,1350,3502
5/30/96,1542.22,1551.22,1540.72,1549.72,698,3337
5/31/96,1553.22,1558.82,1550.22,1555.22,1936,3668
6/3/96,1553.72,1559.72,1552.72,1555.47,849,3807
6/4/96,1560.22,1560.22,1552.22,1557.72,744,3929
6/5/96,1556.22,1564.72,1555.02,1563.72,754,4073
6/6/96,1568.72,1568.72,1550.72,1550.77,1384,4027
6/7/96,1534.22,1556.22,1532.22,1555.97,2180,4465
6/10/96,1556.72,1557.72,1552.12,1552.97,728,4233
6/11/96,1556.72,1561.22,1553.72,1556.47,1020,4433
6/12/96,1560.47,1567.12,1559.72,1562.72,968,4326
6/13/96,1562.22,1563.22,1551.22,1556.57,587,4310
6/14/96,1555.22,1555.22,1546.72,1546.57,222,4301
6/17/96,1547.22,1547.22,1541.22,1544.02,353,4288
6/18/96,1544.47,1544.47,1529.72,1530.47,429,4119
6/19/96,1531.22,1537.72,1530.22,1532.47,137,4064
6/20/96,1534.97,1536.22,1512.97,1529.22,3032,5210
6/21/96,1535.47,1537.47,1531.32,1537.47,1092,5336
6/24/96,1538.47,1544.97,1535.97,1539.97,893,5449
6/25/96,1543.47,1543.47,1531.72,1532.22,946,5454
6/26/96,1531.47,1532.47,1515.22,1522.47,1821,5377
6/27/96,1522.97,1534.72,1517.47,1533.97,1160,5380
6/28/96,1539.47,1544.97,1536.72,1541.47,1333,5348
7/1/96,1542.97,1552.57,1541.97,1551.22,546,5461
