Date,M1_Position,M2_Position,M1_P&L,M2_P&L,P&L
1/3/07,0,0,0.0,0.0,0.0
1/4/07,0,0,0.0,0.0,0.0
1/5/07,0,0,0.0,0.0,0.0
1/8/07,0,0,0.0,0.0,0.0
1/9/07,0,0,0.0,0.0,0.0
1/10/07,0,0,0.0,0.0,0.0
1/11/07,0,0,0.0,0.0,0.0
1/12/07,0,0,0.0,0.0,0.0
1/16/07,0,0,0.0,0.0,0.0
1/17/07,0,0,0.0,0.0,0.0
1/18/07,0,0,0.0,0.0,0.0
1/19/07,0,0,0.0,0.0,0.0
1/22/07,0,0,0.0,0.0,0.0
1/23/07,0,0,0.0,0.0,0.0
1/24/07,0,0,0.0,0.0,0.0
1/25/07,0,0,0.0,0.0,0.0
1/26/07,0,0,0.0,0.0,0.0
1/29/07,0,0,0.0,0.0,0.0
1/30/07,0,0,0.0,0.0,0.0
1/31/07,0,0,0.0,0.0,0.0
2/1/07,0,0,0.0,0.0,0.0
2/2/07,0,0,0.0,0.0,0.0
2/5/07,0,0,0.0,0.0,0.0
2/6/07,0,0,0.0,0.0,0.0
2/7/07,0,0,0.0,0.0,0.0
2/8/07,0,0,0.0,0.0,0.0
2/9/07,0,0,0.0,0.0,0.0
2/12/07,0,0,0.0,0.0,0.0
2/13/07,0,0,0.0,0.0,0.0
2/14/07,0,0,0.0,0.0,0.0
2/15/07,0,0,0.0,0.0,0.0
2/16/07,0,0,0.0,0.0,0.0
2/20/07,0,0,0.0,0.0,0.0
2/21/07,0,0,0.0,0.0,0.0
2/22/07,0,0,0.0,0.0,0.0
2/23/07,0,0,0.0,0.0,0.0
2/26/07,0,0,0.0,0.0,0.0
2/27/07,0,0,0.0,0.0,0.0
2/28/07,0,0,0.0,0.0,0.0
3/1/07,0,0,0.0,0.0,0.0
3/2/07,0,0,0.0,0.0,0.0
3/5/07,0,0,0.0,0.0,0.0
3/6/07,0,0,0.0,0.0,0.0
3/7/07,0,0,0.0,0.0,0.0
3/8/07,0,0,0.0,0.0,0.0
3/9/07,0,0,0.0,0.0,0.0
3/12/07,0,0,0.0,0.0,0.0
3/13/07,0,0,0.0,0.0,0.0
3/14/07,0,0,0.0,0.0,0.0
3/15/07,0,0,0.0,0.0,0.0
3/16/07,0,0,0.0,0.0,0.0
3/19/07,0,0,0.0,0.0,0.0
3/20/07,0,0,0.0,0.0,0.0
3/21/07,0,0,0.0,0.0,0.0
3/22/07,0,0,0.0,0.0,0.0
3/23/07,0,0,0.0,0.0,0.0
3/26/07,0,0,0.0,0.0,0.0
3/27/07,0,0,0.0,0.0,0.0
3/28/07,0,0,0.0,0.0,0.0
3/29/07,0,0,0.0,0.0,0.0
3/30/07,0,0,0.0,0.0,0.0
4/2/07,0,0,0.0,0.0,0.0
4/3/07,0,0,0.0,0.0,0.0
4/4/07,0,0,0.0,0.0,0.0
4/5/07,0,0,0.0,0.0,0.0
4/9/07,0,0,0.0,0.0,0.0
4/10/07,0,0,0.0,0.0,0.0
4/11/07,0,0,0.0,0.0,0.0
4/12/07,0,0,0.0,0.0,0.0
4/13/07,0,0,0.0,0.0,0.0
4/16/07,0,0,0.0,0.0,0.0
4/17/07,0,0,0.0,0.0,0.0
4/18/07,0,0,0.0,0.0,0.0
4/19/07,0,0,0.0,0.0,0.0
4/20/07,0,0,0.0,0.0,0.0
4/23/07,0,0,0.0,0.0,0.0
4/24/07,0,0,0.0,0.0,0.0
4/25/07,0,0,0.0,0.0,0.0
4/26/07,0,0,0.0,0.0,0.0
4/27/07,0,0,0.0,0.0,0.0
4/30/07,0,0,0.0,0.0,0.0
5/1/07,0,0,0.0,0.0,0.0
5/2/07,0,0,0.0,0.0,0.0
5/3/07,0,0,0.0,0.0,0.0
5/4/07,0,0,0.0,0.0,0.0
5/7/07,0,0,0.0,0.0,0.0
5/8/07,0,0,0.0,0.0,0.0
5/9/07,0,0,0.0,0.0,0.0
5/10/07,0,0,0.0,0.0,0.0
5/11/07,0,0,0.0,0.0,0.0
5/14/07,0,0,0.0,0.0,0.0
5/15/07,0,0,0.0,0.0,0.0
5/16/07,0,0,0.0,0.0,0.0
5/17/07,0,0,0.0,0.0,0.0
5/18/07,0,0,0.0,0.0,0.0
